,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,étaient,were
33,33,attention,Warning
34,34,voici,here is
35,35,pourrais,could
36,36,affaire,case
37,37,donner,give
38,38,type,type
39,39,leurs,their
40,40,donné,given
41,41,train,train
42,42,corps,body
43,43,endroit,place
44,44,yeux,eyes
45,45,façon,way
46,46,écoute,listen
47,47,dont,whose
48,48,trouve,find
49,49,premier,first
50,50,perdu,lost
51,51,main,hand
52,52,première,first
53,53,côté,side
54,54,pouvoir,power
55,55,vieux,old
56,56,sois,be
57,57,tiens,here
58,58,matin,morning
59,59,tellement,so much
60,60,enfant,child
61,61,venu,came
62,62,suite,after
63,63,pardon,sorry
64,64,venez,come
65,65,vers,towards
66,66,minutes,minutes
67,67,demandé,request
68,68,mis,placed
69,69,belle,beautiful
70,70,droit,law
71,71,aimerais,would like to
72,72,aujourd'hui,today
73,73,mari,husband
74,74,cause,cause
75,75,enfin,finally
76,76,espère,hope
77,77,attendez,Wait
78,78,parti,left
79,79,nouvelle,new
80,80,boulot,job
81,81,arrêter,Stop
82,82,dirait,would say
83,83,terre,Earth
84,84,donne,given
85,85,loin,far
86,86,fin,end
87,87,croire,believe
88,88,chérie,sweetheart
89,89,gros,large
90,90,plutôt,rather
91,91,filles,girls
92,92,jouer,to play
93,93,bureau,office
